Source,Date,Count
Mainichi,20140807,1
Mainichi,20140815,1
Mainichi,20140816,3
Mainichi,20140906,1
Mainichi,20140913,1
Mainichi,20140927,1
Mainichi,20141014,1
Mainichi,20141016,1
Mainichi,20141017,1
Mainichi,20141018,2
Mainichi,20141019,2
Mainichi,20150101,1
Mainichi,20150417,1
Mainichi,20150421,1
Mainichi,20150422,1
Mainichi,20150423,2
